"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geodata_center";"geoarea";
"5706";"«Доброслободская ул. - Театр», Доброслободская улица (5706)";"37.67408054";"55.76415202";"Доброслободская улица";"Западный административный округ";"район Проспект Вернадского";"АТ24";"Доброслободская ул. - Театр";"";"нет";"";"активна";"889090305";"0101000000C315694548D642404289BFBBCFE14B40";"";
"5707";"«Аптекарский пер.», Доброслободская улица (5707)";"37.67191078";"55.76854564";"Доброслободская улица";"Западный административный округ";"район Тропарёво-Никулино";"АТ24";"Аптекарский пер.";"";"да";"ГУП «Мосгортранс»";"активна";"889090307";"010100000005F7242C01D6424046A41AB45FE24B40";"";
"5708";"«Пл. Разгуляй», Новая Басманная улица (5708)";"37.66784569";"55.76978418";"Новая Басманная улица";"Западный административный округ";"район Проспект Вернадского";"АТ24";"Пл. Разгуляй";"";"да";"ГУП «Мосгортранс»";"активна";"889090308";"01010000008BA9B2F77BD54240020ABB4988E24B40";"";
"5709";"«1-й Басманный пер.», Новая Басманная улица (5709)";"37.66610277";"55.76977997";"Новая Басманная улица";"Западный административный округ";"район Проспект Вернадского";"АТ24";"1-й Басманный пер.";"";"да";"ГУП «Мосгортранс»";"активна";"889090309";"0101000000677606DB42D5424008226A2688E24B40";"";
"5710";"«Сад им. Баумана», Новая Басманная улица (5710)";"37.65899399";"55.76978387";"Новая Басманная улица";"Западный административный округ";"район Проспект Вернадского";"АТ24";"Сад им. Баумана";"";"да";"ГУП «Мосгортранс»";"активна";"889090310";"0101000000C0A741EA59D44240B451214788E24B40";"";
"5711";"«Метро Красные ворота (выс.)», Новая Басманная улица (5711)";"37.65140374";"55.76916656";"Новая Басманная улица";"Западный административный округ";"район Проспект Вернадского";"АТ24";"Метро Красные ворота (выс.)";"";"нет";"";"активна";"889090312";"010100000063E59F3261D342403C30C20C74E24B40";"";
"5712";"«Метро Красные ворота (пос.)», Красноворотский проезд (5712)";"37.65178119";"55.76989434";"Красноворотский проезд";"Центральный административный округ";"Красносельский район";"АТ24";"Метро Красные ворота (пос.)";"";"да";"ГУП «Мосгортранс»";"активна";"889090313";"01010000005799E7906DD3424077D6D1E58BE24B40";"";
"5713";"«Сад им. Баумана», Новая Басманная улица (5713)";"37.65929912";"55.76961389";"Новая Басманная улица";"Западный административный округ";"район Проспект Вернадского";"АТ24";"Сад им. Баумана";"";"да";"ГУП «Мосгортранс»";"активна";"889090315";"01010000003E57DFE963D44240760C3CB582E24B40";"";
"5714";"«1-й Басманный пер.», Новая Басманная улица (5714)";"37.6642372194";"55.7696614288";"Новая Басманная улица";"Центральный административный округ";"Басманный район";"АТ24";"1-й Басманный пер.";"";"да";"ГУП «Мосгортранс»";"активна";"889090316";"0101000000F30DA7B905D5424025D8044484E24B40";"";
"5715";"«Пл. Разгуляй», Новая Басманная улица (5715)";"37.66876992";"55.7695542";"Новая Басманная улица";"Западный административный округ";"район Раменки";"АТ24";"Пл. Разгуляй";"";"да";"ГУП «Мосгортранс»";"активна";"889090317";"01010000006A79B3409AD54240EEBF84C080E24B40";"";
